timestamp,x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
1754656408.1678386,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.2029517,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.2260685,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.300554,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.3381143,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.3663,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.3914864,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.4140759,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.439141,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.4615278,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.4845994,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.5115368,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.5341096,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.5606372,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.5858824,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.609154,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.6331673,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.659961,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.6837077,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.7127528,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.7379944,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.7704237,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.7972538,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.8229232,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.8458974,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.8701828,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.8951373,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.9195228,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.9404898,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.9629693,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656408.9879372,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.010465,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.033538,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.0584192,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.0820024,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.105098,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.1260157,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.147843,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.1739974,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.2079506,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.228356,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.2531483,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.2756262,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.3100889,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.332378,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.3574054,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.378365,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.4028618,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.4272542,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.4467692,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.4691737,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.4921715,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.5152948,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.5422978,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.566108,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.5898952,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.611777,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.6365025,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.65846,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.6820657,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.7058957,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.7261932,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.748165,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.7729502,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.79967,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.821151,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.8420846,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.8642879,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.8901324,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.913542,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.9443219,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.9687696,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656409.995871,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.0281534,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.0529916,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.0833247,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.1111114,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.1345127,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.159447,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.1803763,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.2051365,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.227695,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.2483914,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.2759213,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.2971675,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.3225179,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.3472226,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1754656410.370715,0.0,0.0,0.0,0.0,0.0,0.0,1.0
