timestamp,initialpose_x,initialpose_y,initialpose_z,initialpose_qx,initialpose_qy,initialpose_qz,initialpose_qw,amcl_pose_x,amcl_pose_y,amcl_pose_z,amcl_pose_qx,amcl_pose_qy,amcl_pose_qz,amcl_pose_qw,odom_x,odom_y,odom_vx,odom_vy,odom_angular_z,cmd_vel_vx,cmd_vel_vy,cmd_vel_angular_z,goal_x,goal_y,goal_z,goal_qx,goal_qy,goal_qz,goal_qw
2025-08-22 14:43:44.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.811973856040704,-3.0361163909630724,0.0,0.0,0.0,-0.4409558688620043,0.8975287860097607,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:44.500,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,3.811973856040704,-3.0361163909630724,0.0,0.0,0.0,-0.4409558688620043,0.8975287860097607,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:44.600,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:44.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:44.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:44.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.200,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.300,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.500,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.600,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.700,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.800,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:45.900,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:46.000,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:46.100,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:46.200,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:46.300,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-22 14:43:46.400,-1.17,0.06,0.0,0.0,0.0,0.1088,0.994,,,,,,,,3.7429678467588827,-3.2037075730471334,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
