timestamp,amcl_pose_x,amcl_pose_y,amcl_pose_z,amcl_pose_qx,amcl_pose_qy,amcl_pose_qz,amcl_pose_qw,odom_x,odom_y,odom_vx,odom_vy,odom_angular_z,cmd_vel_vx,cmd_vel_vy,cmd_vel_angular_z,goal_x,goal_y,goal_z,goal_qx,goal_qy,goal_qz,goal_qw
2025-08-20 13:10:19.900,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.000,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.100,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.200,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.300,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.400,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.500,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.600,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.700,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.800,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:20.900,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.000,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.100,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.200,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.300,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.400,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.500,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.600,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.700,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2025-08-20 13:10:21.800,,,,,,,,4.370271848469859,-4.200982854584557,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
